1|0|550
1|50|550
1|100|550
1|150|550
1|200|550
1|250|550
1|300|550
1|350|550
1|400|550
1|450|550
1|500|550
1|550|550
1|600|550
1|650|550
1|700|550
1|750|550
1|800|550
1|850|550
1|900|550
1|950|550
1|300|500
1|450|300
1|550|200
1|650|-50
1|450|-150
1|50|-300
1|-200|-550
1|0|-700
1|400|-600
1|450|-600
1|500|-600
1|550|-600
1|600|-600
1|650|-600
1|700|-600
1|750|-600
1|800|-600
1|850|-600
1|900|-600
1|950|-600
1|1000|-650
2|1500|-688
1|1050|-600
1|1100|-600
1|1150|-600
1|1200|-600
1|1250|-600
1|1300|-600
1|1350|-600
1|1400|-600
1|1450|-600
1|1500|-600
1|1550|-600
1|1600|-650
1|1650|-600
1|1700|-600
1|1900|-600
1|2100|-600
1|2300|-600
1|2500|-600
1|3000|-600
1|3300|-600
1|3800|-600
2|2900|-688
0|200|200
